screen_id,element_id_or_selector,event_type,frontend_function,api_or_route,controller_action,service_method,mapper_query,related_table,auth_rule,notes
USER-CERTIFICATE-REPORT-LIST,"a[href=""/certificate/report_list""]",click,browser-navigation,/certificate/report_list,HomeMenuFallbackController.homeMenuPlaceholder,React route resolution,N/A,COMTNMENUINFO,PUBLIC,보고서 및 인증서 목록 대시보드 진입
USER-CERTIFICATE-REPORT-LIST,"[data-help-id=""certificate-report-list-filters""] input, [data-help-id=""certificate-report-list-filters""] select",input/change,setSearchKeyword/setStageFilter/setPriorityFilter,browser-local state,N/A,N/A,N/A,N/A,PUBLIC,검색어·단계·긴급도 필터를 로컬 상태로 반영해 문서 포트폴리오 표를 즉시 재구성
USER-CERTIFICATE-REPORT-LIST,"[data-help-id=""certificate-report-list-table""] a, [data-help-id=""certificate-report-list-workflow""] a",click,browser-navigation,"/emission/report_submit | /emission/data_input | /admin/certificate/review | /admin/certificate/rec_check",HomeMenuFallbackController.homeMenuPlaceholder / AdminMainController.adminFallback,React route resolution,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",PUBLIC,대시보드 카드와 목록 액션에서 작성·보완·검토 화면으로 이동
ADMIN-NEW-PAGE,"a[href=""/admin/system/new-page""]",click,browser-navigation,/admin/system/new-page,AdminSystemCodeController.newPage,React migration redirect,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A1900106_VIEW,기본 관리자 스캐폴드 페이지로 이동
COMMON-SITEMAP,"footer a[href=""/sitemap""]",click,browser-navigation,/sitemap,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,MenuInfoMapper.selectMenuTreeList,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",PUBLIC,홈 푸터 사이트맵 링크 클릭 시 사용자 사이트맵 화면으로 이동
ADMIN-CONTENT-SITEMAP,".js-admin-lnb a[href=""/admin/content/sitemap""]",click,browser-navigation,/admin/content/sitemap,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,"MenuInfoMapper.selectMenuTreeList + AuthGroupManageService permission checks","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_SESSION,관리자 LNB 또는 헤더 메뉴에서 사이트맵 화면으로 이동
ADMIN-POPUP-LIST,"[data-help-id=""popup-list-filters""] form",submit,fetchPopupListPage,"GET /admin/api/admin/content/popup",AdminPopupController.popupListApi,AdminPopupManagementService.buildListPayload,Popup seed + file override composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040203_VIEW,검색어·상태·대상 사용자 기준으로 팝업 목록과 요약 카드 payload를 다시 조회한다
ADMIN-POPUP-LIST,"[data-help-id=""popup-list-table""] tbody tr",click,selectPopupRow,"GET /admin/api/admin/content/popup",AdminPopupController.popupListApi,AdminPopupManagementService.buildListPayload,Popup seed + file override composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040203_VIEW,선택한 행 기준으로 우측 팝업 요약 카드와 URL query 상태를 동기화한다
ADMIN-POPUP-LIST,"[data-help-id=""popup-list-preview""] a[href*=""/admin/content/popup_edit""]",click,browser-navigation,/admin/content/popup_edit?popupId={popupId},AdminPopupController.popupEdit,ReactAppViewSupport.render,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040203_VIEW,선택한 팝업 또는 신규 draft 팝업의 스케줄 편집 화면으로 이동한다
ADMIN-POPUP-EDIT,"window.location.search[popupId]",load,fetchPopupEditPage,"GET /admin/api/admin/content/popup/detail",AdminPopupController.popupEditApi,AdminPopupManagementService.buildEditPayload,Popup seed + file override composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0040204_VIEW,popupId 기준으로 팝업 상세 payload와 옵션 목록을 조회해 편집 폼을 초기화한다
ADMIN-POPUP-EDIT,"[data-help-id=""popup-edit-basic""] input, [data-help-id=""popup-edit-basic""] select, [data-help-id=""popup-edit-schedule""] input, [data-help-id=""popup-edit-schedule""] select, [data-help-id=""popup-edit-content""] input, [data-help-id=""popup-edit-content""] textarea",input/change,updatePopupEditDraft,browser-local state,N/A,N/A,N/A,N/A,ADMIN_SESSION,팝업 기본 정보·노출 일정·내용 편집 입력을 로컬 draft state에 반영한다
ADMIN-POPUP-EDIT,"form button[type=""submit""]",click,savePopupEditPage,"POST /admin/api/admin/content/popup/save",AdminPopupController.savePopupApi,AdminPopupManagementService.savePopup,Popup JSON registry persistence,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0040204_VIEW,팝업 제목·기간·담당 정보를 검증한 뒤 현재 상세를 저장하고 최신 payload를 다시 반영한다
ADMIN-TAG-MANAGEMENT,"[data-help-id=""tag-management-filters""] form",submit,fetchTagManagementPage,"GET /admin/api/admin/content/tag",AdminTagManagementController.tagManagementApi,AdminTagManagementService.buildPagePayload,In-memory tag catalog filtering,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_SESSION,검색어와 상태 기준으로 태그 관리 목록과 요약 카드를 다시 조회
ADMIN-TAG-MANAGEMENT,"[data-help-id=""tag-management-table""] tbody tr, [data-help-id=""tag-management-usage""] tbody tr",load/view,renderTagCatalogAndUsage,"GET /admin/api/admin/content/tag",AdminTagManagementController.tagManagementApi,AdminTagManagementService.buildPagePayload,In-memory tag catalog filtering,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_SESSION,태그 목록과 FAQ/Q&A/검색 추천 연결 현황을 같은 payload 기준으로 렌더링
ADMIN-POST-LIST,"[data-help-id=""post-list-filters""] form",submit,fetchPostManagementPage,"GET /admin/api/admin/content/post",AdminPostManagementController.postManagementApi,AdminPostManagementService.buildPagePayload,In-memory post catalog filtering,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040102_VIEW,검색어·상태·분류 기준으로 게시글 목록과 요약 카드를 다시 조회
ADMIN-POST-LIST,"[data-help-id=""post-list-table""] tbody tr",click,selectPostRow,"GET /admin/api/admin/content/post",AdminPostManagementController.postManagementApi,AdminPostManagementService.buildPagePayload,In-memory post catalog filtering,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040102_VIEW,선택한 행 기준으로 우측 게시글 요약 카드와 URL query 상태를 동기화한다
COMMON-TELEMETRY,window carbonet:telemetry,batch-post,useTelemetryTransport,"POST /api/telemetry/events",TelemetryController.ingestEvents,TraceEventService.recordFrontendEvents,ObservabilityMapper.insertTraceEvent,TRACE_EVENT,session trace context,프런트 page_view ui_action function_call api_request api_response 이벤트를 배치 전송
ADMIN-HELP-MANAGEMENT,"[data-help-id=""help-management-select""] button",click,handleSave,"POST /api/admin/help-management/save",AdminHelpManagementController.saveHelpPage,HelpContentService.savePageHelp,"HelpContentMapper.upsertPage / replaceItems","UI_HELP_PAGE, UI_HELP_ITEM, AUDIT_EVENT",A1900101_EDIT,도움말 메타데이터와 단계 저장 후 감사 로그 기록
ADMIN-HELP-MANAGEMENT,"[data-help-id=""help-management-command-center""] select",change,loadCommandPage,"GET /api/admin/help-management/screen-command/page",AdminHelpManagementController.getScreenCommandPage,ScreenCommandCenterService.getScreenCommandPage,Metadata-only,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A1900101_VIEW,선택한 화면 기준 요소-이벤트-API-권한 연결 메타데이터 로드
ADMIN-HELP-MANAGEMENT,"[data-help-id=""help-management-command-center""] [data-action=""generate""]",click,buildDirectionPreview,client-only,N/A,N/A,N/A,N/A,A1900101_VIEW,선택한 요소/이벤트/API/스키마/수정레이어 기준 AI 작업 지시 초안 생성
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-draft""] .primary-button",click,handleCreateTicket,"POST /api/admin/sr-workbench/tickets",AdminSrWorkbenchController.createTicket,SrTicketWorkbenchService.createTicket,File-backed jsonl append,SR_TICKET_JSONL,A1900102_CREATE,선택한 화면 메타데이터 기준 SR 티켓 발행
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-table""] .secondary-button",click,handleApprove,"POST /api/admin/sr-workbench/tickets/{ticketId}/approve",AdminSrWorkbenchController.approveTicket,SrTicketWorkbenchService.updateApproval,File-backed jsonl rewrite,SR_TICKET_JSONL,A1900102_APPROVE,SR 승인/반려 처리
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-table""] .primary-button",click,handlePrepareExecution,"POST /api/admin/sr-workbench/tickets/{ticketId}/prepare-execution",AdminSrWorkbenchController.prepareExecution,SrTicketWorkbenchService.prepareExecution,File-backed jsonl rewrite,SR_TICKET_JSONL,A1900102_PREPARE,승인된 티켓을 Codex 실행 준비 상태로 전환
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-table""] .primary-button",click,handleExecute,"POST /api/admin/sr-workbench/tickets/{ticketId}/execute",AdminSrWorkbenchController.executeTicket,SrTicketWorkbenchService.executeTicket,"Runner history append + file-backed jsonl rewrite","SR_TICKET_JSONL, SR_CODEX_RUNNER_HISTORY_JSONL",A1900102_EXECUTE,승인 후 READY_FOR_CODEX 상태 티켓을 서버 내부 Codex runner로 실행
ADMIN-CODEX-REQUEST,"button:contains(""Run Provision"")",click,executeCodexProvision,"POST /admin/system/codex-request/execute",CodexProvisionAdminApiController.execute,CodexExecutionAdminService.execute,"CodexProvisioningService.provision + appendHistory","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, CODEX_HISTORY_JSONL",ADMIN_SESSION + security.codex.enabled,관리자 내부 프록시로 Codex 요청을 실행하고 결과를 기록
ADMIN-CODEX-REQUEST,"button:contains(""Refresh History"")",click,fetchCodexHistory,"GET /admin/system/codex-request/history",CodexProvisionAdminApiController.history,CodexExecutionAdminService.getRecentHistory,History inspection read,CODEX_HISTORY_JSONL,ADMIN_SESSION + security.codex.enabled,최근 실행 이력과 점검 결과를 조회
ADMIN-FULL-STACK-MANAGEMENT,"[data-help-id=""full-stack-management-scope""] select",change,fetchFullStackManagementPage,"GET /admin/system/full-stack-management/page-data",AdminSystemCodeController.fullStackManagementPageApi,AdminSystemCodeController.populateMenuManagementModel,"MenuInfoMapper.selectMenuTreeList + MenuFeatureManageMapper.selectMenuFeatureList","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO",A0060108_VIEW,메뉴 범위와 트리를 다시 조회하고 풀스택 관리 상태를 갱신
ADMIN-FULL-STACK-MANAGEMENT,"[data-help-id=""menu-management-governance-select""]",click,loadCommandPage,"GET /api/admin/help-management/screen-command/page",AdminHelpManagementController.getScreenCommandPage,ScreenCommandCenterService.getScreenCommandPage,Metadata-only,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, COMTNUSERFEATUREOVERRIDE",A0060108_VIEW,선택한 페이지 메뉴 기준 요소-이벤트-함수-API-스키마-권한 연결 메타데이터 로드
ADMIN-FULL-STACK-MANAGEMENT,"[data-help-id=""full-stack-management-tree""] .primary-button",click,createPageMenu,"POST /admin/content/menu/create-page",AdminSystemCodeController.createMenuManagedPageApi,"AdminCodeManageService.insertPageManagement + MenuFeatureManageService.insertMenuFeature","AdminCodeManageMapper.insertPageManagementDetail / insertPageManagementMenu / MenuInfoMapper.insertMenuOrder / MenuFeatureManageMapper.insertMenuFeature","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, AUDIT_EVENT",A0060108_VIEW + menu action features,새 페이지 메뉴와 기본 VIEW 기능을 함께 생성
ADMIN-TRADE-REJECT,"window.location.search[tradeId|returnUrl]",load,fetchTradeRejectPage,"GET /admin/trade/reject/page-data",AdminTradeController.tradeRejectPageApi,AdminShellBootstrapPageService.buildTradeRejectPageData,In-memory trade reject review composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",AMENU_TRADE_REJECT_VIEW,tradeId와 returnUrl 기준으로 거래 반려 검토 상세 payload를 초기화
ADMIN-TRADE-REJECT,"[data-help-id=""trade-reject-form""] button",click,handleSubmit,"POST /admin/trade/reject/action",AdminTradeController.submitTradeRejectAction,AdminShellBootstrapPageService.submitTradeRejectAction,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",AMENU_TRADE_REJECT_VIEW,반려 사유와 운영 메모를 기록해 거래 반려 검토 상태를 남김
ADMIN-CERTIFICATE-OBJECTION-LIST,"#certificateObjectionKeyword, #certificateObjectionStatus, #certificateObjectionPriority",change/submit,applyFilters,"GET /admin/certificate/objection_list/page-data",AdminApprovalController.certificateObjectionListPageApi,AdminApprovalController.buildCertificateObjectionRows,In-memory sample rows,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0020202_VIEW,이의신청 처리 대기열을 검색어·상태·긴급도 기준으로 다시 조회
ADMIN-CERTIFICATE-OBJECTION-LIST,"[data-help-id=""certificate-objection-list-table""] .gov-btn",click,applyFilters/open-review/setActiveObjectionId,"GET /admin/certificate/objection_list/page-data",AdminApprovalController.certificateObjectionListPageApi,AdminApprovalController.buildCertificateObjectionRows,In-memory sample rows + client modal state,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0020202_VIEW,페이지네이션과 검토 화면 링크로 대기열을 탐색하고 처리 버튼으로 건별 검토 모달을 연다
ADMIN-CERTIFICATE-OBJECTION-LIST,"ReviewModalFrame textarea, ReviewModalFrame .gov-btn",input/click,setOperatorNote/close-modal,browser-local state,N/A,N/A,N/A,N/A,A0020202_VIEW,처리 모달 안에서 운영 메모를 기록하고 검토 화면 이동 또는 모달 종료를 수행
ADMIN-EXTERNAL-LOGS,"#externalLogsKeyword, #externalLogsType, #externalLogsSeverity",change,setKeyword/setLogType/setSeverity,"GET /admin/external/logs/page-data",AdminObservabilityController.externalLogsPageApi,AdminObservabilityPageService.buildExternalLogsPagePayload,Observability read-only aggregation,"ACCESS_EVENT, ERROR_EVENT, TRACE_EVENT",ADMIN_A0050303_VIEW,외부연계 로그 조회 조건 변경 후 최근 이벤트 큐를 필터링
ADMIN-EXTERNAL-LOGS,".gov-card a[href^=""/admin/external/"], .gov-card a[href^=""/en/admin/external/"], .gov-card a[href*=""/system/unified_log""], .gov-card a[href*=""/system/observability""]",click,browser-navigation,target drill-down route,N/A,N/A,N/A,N/A,ADMIN_A0050303_VIEW,연계 상세 화면과 통합 로그·추적 조회로 이동해 후속 원인 분석을 진행
ADMIN-EXTERNAL-MONITORING,".gov-card .gov-input, .gov-card .gov-select",change,setKeyword/setHealthStatus/setAlertLevel,"GET /admin/external/monitoring/page-data",AdminObservabilityController.externalMonitoringPageApi,AdminObservabilityPageService.buildExternalMonitoringPagePayload,Observability read-only aggregation,"ACCESS_EVENT, ERROR_EVENT, TRACE_EVENT",ADMIN_A0050106_VIEW,연계 모니터링 조회 조건 변경 시 통합 모니터링 보드 기준으로 화면 필터링
ADMIN-EMISSION-RESULT-DETAIL,"window.location.search[resultId]",load,fetchEmissionResultDetailPage,"GET /admin/emission/result_detail/page-data",AdminEmissionResultController.emissionResultDetailPageApi,AdminShellBootstrapPageService.buildEmissionResultDetailPageData,In-memory summary/detail composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0020102_VIEW,결과 ID 기준 상세 payload를 로드하고 요약·검토·증빙·이력 섹션을 초기화
ADMIN-EMISSION-RESULT-DETAIL,"[data-help-id=""emission-result-detail-actions""] a[href*=""/admin/emission/validate""]",click,browser-navigation,/admin/emission/validate?resultId={resultId},AdminMainController.emission_validate,AdminShellBootstrapPageService.buildEmissionValidatePageData,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0020104_VIEW,상세 화면에서 연결된 검증 화면으로 이동
ADMIN-EMISSION-VALIDATE,"window.location.search[resultId|searchKeyword|verificationStatus|priorityFilter]",load,fetchEmissionValidatePage,"GET /admin/emission/validate/page-data",AdminEmissionSiteController.emissionValidatePageApi,AdminShellBootstrapPageService.buildEmissionValidatePageData,In-memory verification queue composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0020104_VIEW,선택 resultId와 검색 필터 기준으로 검증 관리 초기 payload를 로드
ADMIN-EMISSION-VALIDATE,"[data-help-id=""emission-validate-search""] form, [data-help-id=""emission-validate-table""] .pagination button",submit/click,setFilters,"GET /admin/emission/validate/page-data",AdminEmissionSiteController.emissionValidatePageApi,AdminShellBootstrapPageService.buildEmissionValidatePageData,In-memory verification queue composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0020104_VIEW,검증 상태·우선순위·검색어·페이지 변경에 따라 대기열을 다시 조회
ADMIN-EMISSION-VALIDATE,"[data-help-id=""emission-validate-links""] a, [data-help-id=""emission-validate-table""] a[href*=""/admin/emission/result_detail""]",click,browser-navigation,"/admin/emission/result_list | /admin/system/feature-management | /admin/emission/result_detail?resultId={resultId}",AdminMainController.emission_result_list / AdminSystemCodeController.featureManagement / AdminMainController.emission_result_detail,AdminShellBootstrapPageService.buildEmissionResultListPageData / N/A / AdminShellBootstrapPageService.buildEmissionResultDetailPageData,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0020104_VIEW,검증 화면에서 연관 목록·기능 관리·결과 상세로 이동
ADMIN-EMISSION-RESULT-DETAIL,"[data-help-id=""emission-result-detail-actions""] a[href*=""/admin/emission/result_list""], [data-help-id=""emission-result-detail-actions""] a[href*=""/admin/emission/data_history""]",click,browser-navigation,"/admin/emission/result_list | /admin/emission/data_history?resultId={resultId}",AdminMainController.emission_result_list / AdminMainController.emission_data_history,AdminShellBootstrapPageService.buildEmissionResultListPageData / AdminShellBootstrapPageService.buildEmissionDataHistoryPageData,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0020102_VIEW,목록 복귀와 이력 조회 이동을 통해 결과 상세 화면군 내부 탐색을 이어감
ADMIN-REFUND-PROCESS,"#refundProcessKeyword, #refundProcessStatus, #refundProcessChannel, #refundProcessPriority",change/submit,applyFilters,"GET /admin/payment/refund_process/page-data",AdminApprovalController.refundProcessPageApi,AdminApprovalController.buildRefundProcessRows,In-memory sample rows,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0030302_VIEW,환불 처리 대기열을 검색어·처리 상태·채널·긴급도 기준으로 다시 조회
ADMIN-REFUND-PROCESS,"[data-help-id=""refund-process-table""] .gov-btn, [data-help-id=""refund-process-table""] .pagination button",click,applyFilters/setActiveRefundId,"GET /admin/payment/refund_process/page-data",AdminApprovalController.refundProcessPageApi,AdminApprovalController.buildRefundProcessRows,In-memory sample rows + client modal state,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0030302_VIEW,페이지네이션과 검토 버튼으로 집행 대기열을 탐색하고 건별 환불 검토 모달을 연다
ADMIN-REFUND-PROCESS,"ReviewModalFrame textarea, ReviewModalFrame a",input/click,setOperatorNote/browse-linked-pages,"/admin/payment/refund_list | /admin/payment/virtual_issue",AdminMainController.adminFallback,AdminMenuShellService.renderAdminFallback,N/A,N/A,A0030302_VIEW,검토 모달 안에서 운영 메모를 기록하고 환불 요청 목록·환불 계좌 검수 화면으로 이동한다
ADMIN-BANNER-EDIT,"window.location.search[bannerId]",load,fetchBannerEditPage,"GET /admin/api/admin/content/banner/detail",AdminBannerController.bannerEditApi,AdminBannerManagementService.buildEditPayload,In-memory banner seed composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0040202_VIEW,배너 목록에서 전달된 bannerId 기준으로 편집 payload와 요약 카드를 초기화한다
ADMIN-BANNER-EDIT,"[data-help-id=""banner-edit-form""] .gov-btn-primary",click,saveBannerEditPage,"POST /admin/api/admin/content/banner/save",AdminBannerController.saveBannerApi,AdminBannerManagementService.saveBanner,In-memory banner seed update,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0040202_VIEW,편집 폼에서 배너명·연결 URL·상태·일정을 저장하고 최신 상세 payload를 다시 반영한다
