api_id,method,endpoint,actor,auth_rule,request_dto,response_dto,controller_action,service_method,state_effect,related_tables,external_integration,notes
USER-CERTIFICATE-REPORT-LIST-PAGE,GET,/certificate/report_list,USER,PUBLIC,None,React home shell page,HomeMenuFallbackController.homeMenuPlaceholder,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,COMTNMENUINFO,N,사용자 홈 fallback과 React route 매핑으로 보고서 및 인증서 목록 화면 진입
USER-CERTIFICATE-REPORT-LIST-PAGE-EN,GET,/en/certificate/report_list,USER,PUBLIC,None,React home shell page,HomeMenuFallbackController.homeMenuPlaceholder,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,COMTNMENUINFO,N,영문 사용자 보고서 및 인증서 목록 화면 진입
ADMIN-NEW-PAGE-PAGE,GET,/admin/system/new-page,ADMIN,A1900106_VIEW,None,React admin shell page,AdminSystemCodeController.newPage,React migration redirect,READ_ONLY_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,기본 관리자 스캐폴드 페이지 진입
ADMIN-NEW-PAGE-PAGE-EN,GET,/en/admin/system/new-page,ADMIN,A1900106_VIEW,None,React admin shell page,AdminSystemCodeController.newPage,React migration redirect,READ_ONLY_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 기본 관리자 스캐폴드 페이지 진입
COMMON-SITEMAP-PAGE,GET,/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,HMENU1 메뉴 트리와 공개 로그인·회원가입·회원사 가입 플로우를 읽어 사용자 사이트맵 HTML 렌더링
COMMON-SITEMAP-PAGE-EN,GET,/en/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemapEn,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,영문 사용자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE,GET,/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,현재 관리자 VIEW 권한으로 접근 가능한 관리자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE-EN,GET,/en/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemapEn,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 사이트맵 HTML 렌더링
ADMIN-POPUP-LIST-PAGE,GET,/admin/content/popup_list,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminPopupController.popupList,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 팝업 목록 React 화면 진입
ADMIN-POPUP-LIST-PAGE-EN,GET,/en/admin/content/popup_list,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminPopupController.popupListEn,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 팝업 목록 React 화면 진입
ADMIN-POPUP-LIST-DATA,GET,/admin/api/admin/content/popup,ADMIN,ADMIN_SESSION,searchKeyword/status/targetAudience/selectedPopupId,PopupListPagePayload,AdminPopupController.popupListApi,AdminPopupManagementService.buildListPayload,READ_ONLY_POPUP_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,팝업 ID·상태·대상 사용자 기준으로 팝업 목록/요약/선택 상세 payload를 조회
ADMIN-POPUP-LIST-DATA-EN,GET,/en/admin/api/admin/content/popup,ADMIN,ADMIN_SESSION,searchKeyword/status/targetAudience/selectedPopupId,PopupListPagePayload,AdminPopupController.popupListApiEn,AdminPopupManagementService.buildListPayload,READ_ONLY_POPUP_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 팝업 목록 payload를 조회
ADMIN-TAG-MANAGEMENT-PAGE,GET,/admin/content/tag,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminTagManagementController.tagManagement,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 태그 관리 React 화면 진입
ADMIN-TAG-MANAGEMENT-PAGE-EN,GET,/en/admin/content/tag,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminTagManagementController.tagManagementEn,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 태그 관리 React 화면 진입
ADMIN-TAG-MANAGEMENT-DATA,GET,/admin/api/admin/content/tag,ADMIN,ADMIN_SESSION,searchKeyword/status,TagManagementPagePayload,AdminTagManagementController.tagManagementApi,AdminTagManagementService.buildPagePayload,READ_ONLY_TAG_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,태그 코드·이름·상태 기준으로 태그 관리 목록과 연결 현황 payload를 조회
ADMIN-TAG-MANAGEMENT-DATA-EN,GET,/en/admin/api/admin/content/tag,ADMIN,ADMIN_SESSION,searchKeyword/status,TagManagementPagePayload,AdminTagManagementController.tagManagementApiEn,AdminTagManagementService.buildPagePayload,READ_ONLY_TAG_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 태그 관리 payload를 조회
ADMIN-POST-LIST-PAGE,GET,/admin/content/post_list,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminPostManagementController.postManagement,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 게시글 목록 React 화면 진입
ADMIN-POST-LIST-PAGE-EN,GET,/en/admin/content/post_list,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminPostManagementController.postManagementEn,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 게시글 목록 React 화면 진입
ADMIN-POST-LIST-DATA,GET,/admin/api/admin/content/post,ADMIN,ADMIN_SESSION,searchKeyword/status/category/selectedPostId,PostManagementPagePayload,AdminPostManagementController.postManagementApi,AdminPostManagementService.buildPagePayload,READ_ONLY_POST_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,게시글 제목·상태·분류 기준으로 게시글 목록/요약/선택 상세 payload를 조회
ADMIN-POST-LIST-DATA-EN,GET,/en/admin/api/admin/content/post,ADMIN,ADMIN_SESSION,searchKeyword/status/category/selectedPostId,PostManagementPagePayload,AdminPostManagementController.postManagementApiEn,AdminPostManagementService.buildPagePayload,READ_ONLY_POST_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 게시글 목록 payload를 조회
FRONTEND-TELEMETRY-INGEST,POST,/api/telemetry/events,USER_OR_ADMIN,SESSION_OR_CSRF,FrontendTelemetryBatchRequest,"{ success, acceptedCount }",TelemetryController.ingestEvents,TraceEventService.recordFrontendEvents,INSERT_TRACE_EVENTS,TRACE_EVENT,N,프런트 page_view/ui_action/function/api 응답 이벤트를 배치 적재
ADMIN-HELP-MANAGEMENT-PAGE,GET,/api/admin/help-management/page,ADMIN,A1900101_VIEW,pageId,HelpManagementPagePayload,AdminHelpManagementController.getHelpPage,HelpContentService.getPageHelpForAdmin,READ_ONLY,"UI_HELP_PAGE, UI_HELP_ITEM",N,도움말 메타데이터와 단계 목록 조회
ADMIN-HELP-MANAGEMENT-SAVE,POST,/api/admin/help-management/save,ADMIN,A1900101_EDIT,HelpManagementSaveRequest,"{ success, pageId, message }",AdminHelpManagementController.saveHelpPage,HelpContentService.savePageHelp,UPSERT_HELP_CONTENT,"UI_HELP_PAGE, UI_HELP_ITEM, AUDIT_EVENT",N,도움말 저장 후 감사 로그 기록
ADMIN-SCREEN-COMMAND-PAGE,GET,/api/admin/help-management/screen-command/page,ADMIN,A1900101_VIEW,pageId,ScreenCommandPagePayload,AdminHelpManagementController.getScreenCommandPage,ScreenCommandCenterService.getScreenCommandPage,READ_ONLY_METADATA,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,선택한 화면 기준 요소-이벤트-API-권한-스키마 연결 메타데이터 조회
ADMIN-SR-WORKBENCH-PAGE,GET,/api/admin/sr-workbench/page,ADMIN,A1900102_VIEW,pageId,SrWorkbenchPagePayload,AdminSrWorkbenchController.getPage,SrTicketWorkbenchService.getPage,READ_ONLY_METADATA,"SR_TICKET_JSONL, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,워크벤치 화면 데이터와 최근 SR 티켓 조회
ADMIN-SR-TICKET-CREATE,POST,/api/admin/sr-workbench/tickets,ADMIN,A1900102_CREATE,SrTicketCreateRequest,"{ success, message, ticket }",AdminSrWorkbenchController.createTicket,SrTicketWorkbenchService.createTicket,CREATE_SR_TICKET,SR_TICKET_JSONL,N,화면 메타데이터 기반 SR 티켓 발행
ADMIN-SR-TICKET-APPROVE,POST,/api/admin/sr-workbench/tickets/{ticketId}/approve,ADMIN,A1900102_APPROVE,SrTicketApprovalRequest,"{ success, message, ticket }",AdminSrWorkbenchController.approveTicket,SrTicketWorkbenchService.updateApproval,UPDATE_SR_APPROVAL,SR_TICKET_JSONL,N,SR 승인 또는 반려 처리
ADMIN-SR-TICKET-PREPARE-EXECUTION,POST,/api/admin/sr-workbench/tickets/{ticketId}/prepare-execution,ADMIN,A1900102_PREPARE,None,"{ success, message, ticket }",AdminSrWorkbenchController.prepareExecution,SrTicketWorkbenchService.prepareExecution,MARK_READY_FOR_CODEX,SR_TICKET_JSONL,N,승인된 티켓을 Codex 실행 준비 상태로 전환
ADMIN-SR-TICKET-EXECUTE,POST,/api/admin/sr-workbench/tickets/{ticketId}/execute,ADMIN,A1900102_EXECUTE,None,"{ success, message, ticket }",AdminSrWorkbenchController.executeTicket,SrTicketWorkbenchService.executeTicket,RUN_APPROVED_CODEX_TICKET,"SR_TICKET_JSONL, SR_CODEX_RUNNER_HISTORY_JSONL",N,승인 후 READY_FOR_CODEX 상태 티켓을 worktree 격리와 allowlist 검증 하에 Codex runner로 실행
ADMIN-CODEX-REQUEST-PAGE,GET,/admin/system/codex-request/page-data,ADMIN,ADMIN_SESSION,None,CodexProvisionPagePayload,CodexProvisionPageController.codexProvisionPageData,Model-only page data,READ_ONLY,"COMTCCMMNDETAILCODE, COMTNMENUINFO",N,Codex 요청 화면 초기 샘플 payload와 locale 상태를 반환
ADMIN-CODEX-REQUEST-LOGIN,POST,/admin/system/codex-request/login,ADMIN,ADMIN_SESSION + security.codex.enabled,None,"{ status, mode }",CodexProvisionAdminApiController.login,Internal availability check,READ_ONLY,None,N,브라우저에 API 키를 노출하지 않고 내부 Codex 사용 가능 여부만 확인
ADMIN-CODEX-REQUEST-EXECUTE,POST,/admin/system/codex-request/execute,ADMIN,ADMIN_SESSION + security.codex.enabled,CodexProvisionRequest,CodexProvisionResponse,CodexProvisionAdminApiController.execute,CodexExecutionAdminService.execute,UPSERT_MENU_AND_LOG,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, CODEX_HISTORY_JSONL",N,관리자 세션 컨텍스트를 적용해 Codex 등록 요청을 실행하고 이력 적재
ADMIN-CODEX-REQUEST-HISTORY,GET,/admin/system/codex-request/history,ADMIN,ADMIN_SESSION + security.codex.enabled,None,CodexExecutionHistoryResponse,CodexProvisionAdminApiController.history,CodexExecutionAdminService.getRecentHistory,READ_HISTORY,CODEX_HISTORY_JSONL,N,최근 Codex 실행 이력과 점검 결과 목록 조회
ADMIN-CODEX-REQUEST-INSPECT,POST,/admin/system/codex-request/history/{logId}/inspect,ADMIN,ADMIN_SESSION + security.codex.enabled,None,CodexExecutionHistoryRow,CodexProvisionAdminApiController.inspect,CodexExecutionAdminService.inspect,INSPECT_HISTORY,CODEX_HISTORY_JSONL,N,선택한 실행 이력의 회사/메뉴/기능/공통코드 매핑 상태를 재점검
ADMIN-CODEX-REQUEST-REMEDIATE,POST,/admin/system/codex-request/history/{logId}/remediate,ADMIN,ADMIN_SESSION + security.codex.enabled,None,CodexProvisionResponse,CodexProvisionAdminApiController.remediate,CodexExecutionAdminService.remediate,REPLAY_REQUEST,CODEX_HISTORY_JSONL,N,저장된 요청 JSON으로 Codex 등록을 재실행
ADMIN-FULL-STACK-MANAGEMENT-PAGE,GET,/admin/system/full-stack-management/page-data,ADMIN,A0060108_VIEW,None,MenuManagementPagePayload,AdminSystemCodeController.fullStackManagementPageApi,AdminSystemCodeController.populateMenuManagementModel,READ_ONLY_METADATA,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO",N,메뉴 트리와 풀스택 관리 기본 payload를 조회
ADMIN-CERTIFICATE-OBJECTION-LIST-PAGE,GET,/admin/certificate/objection_list,ADMIN,A0020202_VIEW,None,React admin shell page,AdminMainController.adminFallback,AdminMenuShellService.renderAdminFallback,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 fallback과 React route 매핑으로 이의신청 처리 화면을 렌더링
ADMIN-CERTIFICATE-OBJECTION-LIST-PAGE-EN,GET,/en/admin/certificate/objection_list,ADMIN,A0020202_VIEW,None,React admin shell page,AdminMainController.adminFallback,AdminMenuShellService.renderAdminFallback,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 이의신청 처리 화면 진입
ADMIN-CERTIFICATE-OBJECTION-LIST-DATA,GET,/admin/certificate/objection_list/page-data,ADMIN,A0020202_VIEW,pageIndex/searchKeyword/status/priority,CertificateObjectionListPagePayload,AdminApprovalController.certificateObjectionListPageApi,AdminApprovalController.buildCertificateObjectionRows,READ_ONLY_QUEUE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,이의신청 처리 운영 큐를 검색어·상태·긴급도 기준으로 조회
ADMIN-EXTERNAL-LOGS-PAGE,GET,/admin/external/logs/page-data,ADMIN,ADMIN_A0050303_VIEW,None,ExternalLogsPagePayload,AdminObservabilityController.externalLogsPageApi,AdminObservabilityPageService.buildExternalLogsPagePayload,READ_ONLY_OBSERVABILITY,"ACCESS_EVENT, ERROR_EVENT, TRACE_EVENT",N,외부연계 access/error/trace 이벤트와 감시 대상 연계를 운영 큐 payload로 조회
ADMIN-EXTERNAL-MONITORING-PAGE,GET,/admin/external/monitoring/page-data,ADMIN,ADMIN_A0050106_VIEW,None,ExternalMonitoringPagePayload,AdminObservabilityController.externalMonitoringPageApi,AdminObservabilityPageService.buildExternalMonitoringPagePayload,READ_ONLY_OBSERVABILITY,"ACCESS_EVENT, ERROR_EVENT, TRACE_EVENT",N,외부연계 상태·적체·웹훅 위험 신호를 통합 모니터링 payload로 조회
ADMIN-EMISSION-RESULT-DETAIL-PAGE,GET,/admin/emission/result_detail,ADMIN,ADMIN_A0020102_VIEW,resultId,React admin shell page,AdminEmissionResultController.emissionResultDetailPage,AdminMainController.emission_result_detail,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 fallback과 React route 매핑으로 산정 결과 상세 화면 진입
ADMIN-EMISSION-RESULT-DETAIL-PAGE-EN,GET,/en/admin/emission/result_detail,ADMIN,ADMIN_A0020102_VIEW,resultId,React admin shell page,AdminEmissionResultController.emissionResultDetailPage,AdminMainController.emission_result_detail,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 산정 결과 상세 화면 진입
ADMIN-EMISSION-RESULT-DETAIL-DATA,GET,/admin/emission/result_detail/page-data,ADMIN,ADMIN_A0020102_VIEW,resultId,EmissionResultDetailPagePayload,AdminEmissionResultController.emissionResultDetailPageApi,AdminShellBootstrapPageService.buildEmissionResultDetailPageData,READ_ONLY_DETAIL_PAYLOAD,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,결과 ID 기준 상세 요약과 검토 체크리스트, 배출지·증빙·이력 행을 합성해 반환
ADMIN-EMISSION-VALIDATE-PAGE,GET,/admin/emission/validate,ADMIN,A0020104_VIEW,resultId/searchKeyword/verificationStatus/priorityFilter,React admin shell page,AdminEmissionSiteController.emissionValidatePage,AdminMainController.emission_validate,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 fallback과 React route 매핑으로 검증 관리 화면 진입
ADMIN-EMISSION-VALIDATE-PAGE-EN,GET,/en/admin/emission/validate,ADMIN,A0020104_VIEW,resultId/searchKeyword/verificationStatus/priorityFilter,React admin shell page,AdminEmissionSiteController.emissionValidatePage,AdminMainController.emission_validate,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 검증 관리 화면 진입
ADMIN-EMISSION-VALIDATE-DATA,GET,/admin/emission/validate/page-data,ADMIN,A0020104_VIEW,pageIndex/resultId/searchKeyword/verificationStatus/priorityFilter,EmissionValidatePagePayload,AdminEmissionSiteController.emissionValidatePageApi,AdminShellBootstrapPageService.buildEmissionValidatePageData,READ_ONLY_VERIFICATION_QUEUE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,선택 결과와 검증 필터 기준으로 검증 대기열, 요약 카드, 정책, 빠른 링크를 합성해 반환
ADMIN-REFUND-PROCESS-PAGE,GET,/admin/payment/refund_process,ADMIN,A0030302_VIEW,None,React admin shell page,AdminApprovalController.refundProcessPage,AdminMenuShellService.renderAdminFallback,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 fallback과 React route 매핑으로 환불 처리 화면을 렌더링
ADMIN-REFUND-PROCESS-PAGE-EN,GET,/en/admin/payment/refund_process,ADMIN,A0030302_VIEW,None,React admin shell page,AdminApprovalController.refundProcessPage,AdminMenuShellService.renderAdminFallback,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 환불 처리 화면 진입
ADMIN-REFUND-PROCESS-DATA,GET,/admin/payment/refund_process/page-data,ADMIN,A0030302_VIEW,pageIndex/searchKeyword/refundStatus/refundChannel/priority,RefundProcessPagePayload,AdminApprovalController.refundProcessPageApi,AdminApprovalController.buildRefundProcessRows,READ_ONLY_QUEUE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,환불 처리 운영 큐를 검색어·처리 상태·채널·긴급도 기준으로 조회
